                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.43114,                 0.2367,                 0.7743,                0.98483,                0.91889,                0.97432,                 0.7055,                  1.042,                0.62915,                0.83853,              0.0008516,              0.0008516,              0.0008516
                    118,                0.42963,                0.24243,                0.77114,                0.99268,                0.90428,                0.96954,                0.70511,                 1.0639,                0.70037,                0.84514,              0.0008417,              0.0008417,              0.0008417
                    119,                0.41634,                0.23777,                 0.7786,                0.99039,                0.91626,                 0.9663,                0.70942,                 1.0285,                0.72147,                0.83796,              0.0008318,              0.0008318,              0.0008318
                    120,                0.41709,                0.22932,                0.77514,                0.98908,                0.90611,                0.96082,                0.70927,                 1.0199,                0.78671,                0.83395,              0.0008219,              0.0008219,              0.0008219
                    121,                0.41128,                0.23286,                0.77639,                0.99283,                0.91333,                0.96552,                0.71092,                 1.0352,                0.73521,                0.83168,               0.000812,               0.000812,               0.000812
                    122,                0.41808,                0.23739,                0.77121,                0.99333,                0.91222,                0.97555,                0.72798,                 1.0265,                 0.6529,                0.84097,              0.0008021,              0.0008021,              0.0008021
                    123,                0.41529,                0.24056,                0.76845,                0.97975,                0.91392,                0.96409,                0.70756,                 1.0437,                0.75273,                0.84567,              0.0007922,              0.0007922,              0.0007922
                    124,                0.41679,                 0.2385,                0.77497,                0.98561,                0.91334,                0.96811,                0.71561,                 1.0192,                 0.7679,                0.83997,              0.0007823,              0.0007823,              0.0007823
                    125,                0.42641,                0.23992,                0.77682,                0.98385,                0.90333,                0.95777,                0.71232,                 1.0079,                0.73771,                0.83522,              0.0007724,              0.0007724,              0.0007724
                    126,                0.41834,                 0.2344,                0.77229,                0.98321,                0.91116,                0.96514,                0.72681,                 1.0042,                0.72263,                0.83375,              0.0007625,              0.0007625,              0.0007625
                    127,                0.41306,                0.23156,                 0.7692,                0.98492,                0.90333,                0.96201,                0.71726,                 1.0406,                0.74998,                0.83738,              0.0007526,              0.0007526,              0.0007526
                    128,                0.40901,                0.22575,                0.77338,                0.98681,                 0.9141,                 0.9625,                0.69297,                 1.0422,                0.74806,                0.83689,              0.0007427,              0.0007427,              0.0007427
                    129,                0.40936,                0.23034,                0.77486,                  0.989,                0.89907,                0.95729,                0.70439,                 1.0239,                0.74634,                0.83623,              0.0007328,              0.0007328,              0.0007328
                    130,                0.40607,                 0.2277,                0.76916,                0.99025,                0.90233,                 0.9607,                0.70766,                   1.03,                0.81163,                 0.8393,              0.0007229,              0.0007229,              0.0007229
                    131,                  0.408,                0.22544,                0.77119,                0.98446,                0.91492,                0.97028,                0.71551,                 1.0421,                0.69568,                0.83792,               0.000713,               0.000713,               0.000713
                    132,                 0.4057,                0.22695,                0.77284,                0.98908,                0.91111,                0.97062,                0.70436,                 1.0417,                0.69791,                0.84199,              0.0007031,              0.0007031,              0.0007031
                    133,                0.40499,                0.22614,                0.77429,                0.99153,                0.91022,                 0.9642,                0.70627,                 1.0385,                0.73663,                0.84417,              0.0006932,              0.0006932,              0.0006932
                    134,                0.40568,                0.22421,                0.78059,                0.98414,                0.91333,                0.96305,                0.70222,                 1.0392,                0.76337,                0.84119,              0.0006833,              0.0006833,              0.0006833
                    135,                 0.3896,                0.22215,                0.77148,                0.98806,                0.91946,                 0.9677,                0.71039,                 1.0098,                0.73719,                0.83515,              0.0006734,              0.0006734,              0.0006734
                    136,                0.40377,                 0.2234,                0.77365,                0.98672,                 0.9082,                0.96063,                0.70731,                 1.0405,                0.75253,                0.83592,              0.0006635,              0.0006635,              0.0006635
                    137,                0.39603,                0.22525,                0.77145,                0.99038,                0.91482,                0.96516,                 0.7139,                 1.0264,                0.72446,                0.83625,              0.0006536,              0.0006536,              0.0006536
                    138,                0.39068,                0.21799,                0.77589,                0.98806,                0.91933,                0.97095,                0.72428,                 1.0144,                0.71162,                0.83448,              0.0006437,              0.0006437,              0.0006437
                    139,                0.38904,                0.21582,                0.77588,                0.98459,                0.91444,                0.96608,                0.70907,                  1.026,                0.73539,                0.83401,              0.0006338,              0.0006338,              0.0006338
                    140,                0.39615,                0.21931,                 0.7672,                0.98559,                0.91193,                0.96577,                0.71402,                 1.0262,                 0.7405,                0.83378,              0.0006239,              0.0006239,              0.0006239
                    141,                0.39067,                0.21832,                0.77006,                0.98193,                0.91667,                0.96225,                0.71807,                 1.0135,                0.70784,                0.83635,               0.000614,               0.000614,               0.000614
                    142,                0.39122,                0.21788,                0.77073,                0.98914,                0.91103,                0.96481,                 0.7018,                 1.0383,                0.77092,                0.83694,              0.0006041,              0.0006041,              0.0006041
                    143,                0.38748,                0.21667,                0.77878,                0.97376,                0.90728,                0.96578,                0.69991,                 1.0391,                0.72416,                 0.8366,              0.0005942,              0.0005942,              0.0005942
                    144,                0.39206,                0.22276,                0.77304,                0.99149,                0.90569,                0.96553,                 0.7053,                 1.0174,                0.71933,                0.83087,              0.0005843,              0.0005843,              0.0005843
                    145,                0.39619,                 0.2199,                 0.7731,                0.98914,                0.91048,                0.96749,                0.71743,                 1.0061,                0.68501,                 0.8366,              0.0005744,              0.0005744,              0.0005744
                    146,                0.38348,                0.21122,                0.77212,                0.97914,                0.92333,                0.96782,                0.71663,                 1.0015,                 0.7211,                0.83185,              0.0005645,              0.0005645,              0.0005645
                    147,                0.38799,                0.21169,                0.77197,                0.98372,                0.90667,                0.95982,                0.71329,                 1.0057,                0.73986,                0.83553,              0.0005546,              0.0005546,              0.0005546
                    148,                0.38254,                0.21426,                0.76732,                0.99399,                0.91946,                0.96556,                0.72019,                 1.0136,                0.72195,                0.83575,              0.0005447,              0.0005447,              0.0005447
                    149,                0.37702,                0.21011,                0.77071,                0.98985,                0.91889,                0.96299,                 0.7202,                 1.0123,                0.72823,                0.83632,              0.0005348,              0.0005348,              0.0005348
                    150,                0.37827,                0.21068,                0.77103,                0.97393,                0.91326,                0.96654,                0.71047,                 1.0134,                0.73235,                0.83522,              0.0005249,              0.0005249,              0.0005249
                    151,                0.37441,                0.20733,                0.77482,                0.99037,                0.91432,                0.96386,                0.72626,                 1.0115,                0.77845,                0.83202,               0.000515,               0.000515,               0.000515
                    152,                0.37153,                 0.2076,                  0.774,                0.98798,                0.91291,                0.96482,                0.71121,                 1.0238,                0.79301,                0.83744,              0.0005051,              0.0005051,              0.0005051
